date,open,high,low,close,volume,average,barCount
2024-02-08 15:00:00-06:00,5074.75,5074.75,5071.5,5072.25,-1.0,-1.0,-1
2024-02-09 08:30:00-06:00,5078.25,5085.25,5074.25,5084.5,-1.0,-1.0,-1
2024-02-09 09:00:00-06:00,5084.5,5090.0,5080.75,5089.5,-1.0,-1.0,-1
2024-02-09 10:00:00-06:00,5089.5,5092.0,5082.5,5085.5,-1.0,-1.0,-1
2024-02-09 11:00:00-06:00,5085.5,5094.75,5083.5,5094.5,-1.0,-1.0,-1
2024-02-09 12:00:00-06:00,5094.5,5099.5,5092.75,5097.25,-1.0,-1.0,-1
2024-02-09 13:00:00-06:00,5097.25,5106.75,5096.5,5103.25,-1.0,-1.0,-1
2024-02-09 14:00:00-06:00,5103.25,5103.75,5097.25,5102.25,-1.0,-1.0,-1
2024-02-09 15:00:00-06:00,5102.25,5103.0,5099.75,5100.25,-1.0,-1.0,-1
2024-02-12 08:30:00-06:00,5101.25,5104.25,5100.5,5103.75,-1.0,-1.0,-1
2024-02-12 09:00:00-06:00,5103.75,5111.25,5099.75,5110.5,-1.0,-1.0,-1
2024-02-12 10:00:00-06:00,5110.5,5125.25,5108.25,5123.25,-1.0,-1.0,-1
2024-02-12 11:00:00-06:00,5123.25,5124.75,5116.5,5122.25,-1.0,-1.0,-1
2024-02-12 12:00:00-06:00,5122.25,5124.75,5106.5,5110.5,-1.0,-1.0,-1
2024-02-12 13:00:00-06:00,5110.5,5111.75,5091.75,5095.75,-1.0,-1.0,-1
2024-02-12 14:00:00-06:00,5095.75,5102.25,5094.75,5100.0,-1.0,-1.0,-1
2024-02-12 15:00:00-06:00,5100.0,5100.75,5090.0,5094.25,-1.0,-1.0,-1
2024-02-13 08:30:00-06:00,5033.25,5040.25,5024.0,5026.0,-1.0,-1.0,-1
2024-02-13 09:00:00-06:00,5026.0,5041.0,5020.0,5033.5,-1.0,-1.0,-1
2024-02-13 10:00:00-06:00,5033.5,5046.25,5033.5,5038.75,-1.0,-1.0,-1
2024-02-13 11:00:00-06:00,5038.75,5041.0,5029.25,5031.0,-1.0,-1.0,-1
